EnsemblGeneStableID	HGNC.symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj	Direction.rnaseq	Direction.H3K27ac	Direction.atac	Direction.methylation
ENSG00000125868.16	DSTN	712.3283869	2.755623224	0.349574711	8.24E-17	2.64E-14	Up	NS	NS	NS
ENSG00000132704.16	FCRL2	6023.020231	-4.524195828	0.631252446	8.29E-17	2.64E-14	Down	Decrease	Increase	NS
ENSG00000164109.14	MAD2L1	654.8827011	3.506162676	0.455595642	8.05E-17	2.64E-14	Up	Decrease	NS	NS
ENSG00000277649.2	TIMM22	67.20974479	6.031953407	0.746090459	1.03E-16	3.18E-14	Up	NS	NS	NS
ENSG00000182489.9	XKRX	331.5011628	-3.704287621	0.488336974	1.41E-16	4.27E-14	Down	NS	NS	NS
ENSG00000151725.12	CENPU	926.4034258	2.487412623	0.318558636	2.22E-16	6.60E-14	Up	NS	NS	NS
ENSG00000112118.20	MCM3	4494.419336	1.973064253	0.249963274	2.37E-16	6.92E-14	Up	NS	NS	NS
ENSG00000213585.11	VDAC1	4265.916989	2.164999983	0.276416969	2.68E-16	7.73E-14	Up	NS	NS	NS
ENSG00000114446.5	IFT57	4280.2473	-2.225952872	0.286126563	3.10E-16	8.78E-14	Down	Decrease	NS	NS
ENSG00000118263.15	KLF7	667.3790084	-2.535361707	0.324989904	3.16E-16	8.81E-14	Down	NS	NS	NS
ENSG00000109805.10	NCAPG	494.2777202	3.175912242	0.418011455	3.50E-16	9.62E-14	Up	Decrease	NS	NS
ENSG00000171766.16	GATM	1993.726442	1.919200142	0.24541059	4.67E-16	1.26E-13	Up	NS	NS	NS
ENSG00000135446.17	CDK4	2340.740167	1.941981116	0.248811865	4.80E-16	1.28E-13	Up	Decrease	NS	NS
ENSG00000076003.5	MCM6	1787.230844	2.229782988	0.288069654	5.22E-16	1.37E-13	Up	NS	Increase	NS
ENSG00000102760.13	RGCC	2212.326756	-3.326471615	0.448356633	6.01E-16	1.55E-13	Down	NS	NS	NS
ENSG00000109084.14	TMEM97	233.5413909	2.338613375	0.301301898	6.67E-16	1.70E-13	Up	NS	NS	NS
ENSG00000233680.4	HNRNPA1P27	115.2141995	-3.943524066	0.523515525	7.90E-16	1.99E-13	Down	NS	NS	NS
ENSG00000276429.3	PLCH2	718.4196143	-2.902518335	0.389219137	1.48E-15	3.66E-13	Down	Increase;Decrease	Decrease	NS
ENSG00000121152.10	NCAPH	632.096917	3.804467382	0.535058421	1.88E-15	4.60E-13	Up	Increase	NS	NS
ENSG00000256269.10	HMBS	813.671493	2.032820158	0.266967261	2.03E-15	4.91E-13	Up	NS	NS	NS
ENSG00000197992.7	CLEC9A	166.0248085	7.848974562	1.090435288	2.08E-15	4.95E-13	Up	NS	NS	NS
ENSG00000123080.12	CDKN2C	413.3256254	3.354491098	0.46079546	3.00E-15	7.04E-13	Up	Increase	NS	NS
ENSG00000176092.15	CRYBG2	183.3321036	-3.276197515	0.440849116	3.05E-15	7.06E-13	Down	NS	Increase	NS
ENSG00000103550.14	KNOP1	755.5982871	2.313099619	0.308530133	3.19E-15	7.29E-13	Up	NS	NS	NS
ENSG00000184702.20	SEPTIN5	219.9982721	3.786199806	0.526123924	3.46E-15	7.82E-13	Up	NS	NS	NS
ENSG00000179041.4	RRS1	419.8053329	2.050693593	0.272149588	4.32E-15	9.53E-13	Up	NS	NS	NS
ENSG00000164430.16	CGAS	362.8742165	2.264789097	0.303889129	5.90E-15	1.28E-12	Up	NS	NS	NS
ENSG00000117215.15	PLA2G2D	491.2163958	3.310386773	0.461542962	6.42E-15	1.38E-12	Up	NS	NS	NS
ENSG00000163975.12	MELTF	719.7917865	4.424407549	0.663970538	6.73E-15	1.43E-12	Up	Increase	Increase	NS
ENSG00000171314.9	PGAM1	5361.460472	1.727010434	0.23055347	6.86E-15	1.44E-12	Up	NS	NS	NS
ENSG00000152147.11	GEMIN6	454.1830652	2.152802833	0.289884849	7.74E-15	1.61E-12	Up	Increase	Decrease	NS
ENSG00000110104.13	CCDC86	790.5287563	1.93229651	0.259666833	8.75E-15	1.79E-12	Up	NS	NS	NS
ENSG00000094804.12	CDC6	393.1342163	3.584832121	0.50892164	8.93E-15	1.81E-12	Up	NS	NS	NS
ENSG00000116237.16	ICMT	655.3548494	2.277087625	0.308931102	9.05E-15	1.81E-12	Up	NS	NS	NS
ENSG00000112312.10	GMNN	446.1872725	2.688702852	0.369218406	9.48E-15	1.88E-12	Up	Decrease	NS	NS
ENSG00000111405.9	ENDOU	370.8568513	-4.340774607	0.645469471	1.04E-14	2.05E-12	Down	NS	NS	NS
ENSG00000188130.14	MAPK12	1803.468137	3.758040881	0.551585793	1.17E-14	2.26E-12	Up	NS	NS	NS
ENSG00000197044.11	ZNF441	639.7837712	-2.620667321	0.362368582	1.20E-14	2.30E-12	Down	NS	NS	NS
ENSG00000101412.13	E2F1	950.7879461	3.860577277	0.568461879	1.29E-14	2.45E-12	Up	NS	NS	NS
ENSG00000149929.16	HIRIP3	689.6550268	1.662413611	0.223588221	1.47E-14	2.76E-12	Up	Decrease	Increase	NS
ENSG00000127564.17	PKMYT1	664.7725059	4.61049166	0.718496413	1.51E-14	2.80E-12	Up	Increase	NS	NS
ENSG00000177700.6	POLR2L	965.2781548	1.820197123	0.246587529	1.54E-14	2.84E-12	Up	NS	NS	NS
ENSG00000085465.13	OVGP1	1029.833941	-2.310913982	0.319100749	1.73E-14	3.14E-12	Down	Decrease	NS	NS
ENSG00000213089.4	PDCL3P5	163.6904015	-2.662440395	0.367510246	2.05E-14	3.70E-12	Down	NS	NS	NS
ENSG00000074800.16	ENO1	18162.14544	1.962713282	0.26913949	2.16E-14	3.82E-12	Up	Decrease	NS	NS
ENSG00000277092.4	LILRA4	3084.056547	3.300068391	0.475973519	2.15E-14	3.82E-12	Up	NS	Increase	NS
ENSG00000168026.18	TTC21A	2403.090363	-2.215530391	0.306522049	2.31E-14	4.04E-12	Down	NS	NS	NS
ENSG00000166803.13	PCLAF	324.8762016	2.415911503	0.33415683	2.42E-14	4.19E-12	Up	Decrease	NS	NS
ENSG00000076248.11	UNG	1214.711033	2.749786221	0.388325211	2.58E-14	4.43E-12	Up	NS	NS	NS
ENSG00000135048.14	CEMIP2	5159.685589	-2.230088238	0.310623797	2.81E-14	4.78E-12	Down	Decrease	NS	NS
ENSG00000086619.14	ERO1B	727.3097596	-1.846732213	0.253336936	2.94E-14	4.95E-12	Down	NS	NS	NS
ENSG00000173801.17	JUP	501.6790139	4.770565006	0.739616127	3.05E-14	5.08E-12	Up	Decrease	NS	NS
ENSG00000170779.11	CDCA4	432.5301525	3.079443999	0.440252658	3.08E-14	5.09E-12	Up	NS	NS	NS
ENSG00000123485.12	HJURP	645.6741629	3.954334739	0.602245475	4.36E-14	7.13E-12	Up	Decrease	Increase	NS
ENSG00000146858.8	ZC3HAV1L	223.7185683	3.346165466	0.482178604	4.48E-14	7.20E-12	Up	NS	NS	NS
ENSG00000167513.9	CDT1	603.9020324	3.739772376	0.559982858	4.46E-14	7.20E-12	Up	Increase	Increase	NS
ENSG00000131650.14	KREMEN2	779.1086799	4.77554729	0.758573248	4.67E-14	7.38E-12	Up	Increase	NS	NS
ENSG00000157514.16	TSC22D3	39837.37039	-2.177013036	0.305597069	4.67E-14	7.38E-12	Down	NS	NS	NS
ENSG00000107815.10	TWNK	572.0545652	2.151997856	0.300564164	4.94E-14	7.73E-12	Up	NS	NS	NS
ENSG00000111640.15	GAPDH	33106.61152	1.935337209	0.2706953	5.42E-14	8.41E-12	Up	NS	NS	NS
ENSG00000095015.6	MAP3K1	9255.710636	-2.289633903	0.323407001	5.61E-14	8.63E-12	Down	Decrease	NS	Hypo
ENSG00000146054.18	TRIM7	337.8826694	-2.727968591	0.388748166	6.02E-14	9.19E-12	Down	NS	NS	NS
ENSG00000136379.12	ABHD17C	116.5208741	2.930181805	0.412075719	6.39E-14	9.67E-12	Up	NS	NS	NS
ENSG00000138640.15	FAM13A	602.4778705	-1.891213365	0.263476216	6.46E-14	9.69E-12	Down	NS	NS	Hypo
ENSG00000140905.11	GCSH	181.534692	2.435918302	0.342642281	7.39E-14	1.10E-11	Up	NS	NS	NS
ENSG00000255189.1	GLYATL1P1	79.35012159	-3.466211172	0.49059839	7.43E-14	1.10E-11	Down	Decrease	Increase	NS
ENSG00000262814.8	MRPL12	1119.949717	2.798793385	0.405486231	8.15E-14	1.19E-11	Up	Increase	NS	NS
ENSG00000105708.9	ZNF14	611.8374991	-1.696148566	0.236271113	8.41E-14	1.22E-11	Down	Decrease	NS	NS
ENSG00000160957.14	RECQL4	3063.68343	3.339118931	0.50125415	9.38E-14	1.35E-11	Up	Decrease	NS	NS
ENSG00000180817.12	PPA1	1931.42504	2.181775132	0.310153805	9.60E-14	1.37E-11	Up	NS	NS	NS
ENSG00000068831.19	RASGRP2	9200.67091	-2.721255756	0.397676481	1.13E-13	1.60E-11	Down	NS	NS	NS
ENSG00000012660.14	ELOVL5	6777.29767	-1.770904344	0.250547246	1.30E-13	1.83E-11	Down	Decrease	NS	NS
ENSG00000074416.14	MGLL	812.3808661	3.059246718	0.452316255	1.35E-13	1.88E-11	Up	NS	NS	NS
ENSG00000186185.14	KIF18B	575.5245935	3.790365158	0.58489772	1.37E-13	1.89E-11	Up	NS	NS	NS
ENSG00000118971.8	CCND2	6016.838364	1.626875706	0.230170724	1.75E-13	2.38E-11	Up	Decrease	NS	NS
ENSG00000273604.2	EPOP	390.274249	4.677401939	0.761476616	1.74E-13	2.38E-11	Up	NS	NS	NS
ENSG00000086289.12	EPDR1	146.7435832	6.387291381	1.073977752	1.94E-13	2.63E-11	Up	Increase	NS	NS
ENSG00000071539.14	TRIP13	289.4734532	3.166699091	0.471579846	2.02E-13	2.72E-11	Up	NS	NS	NS
ENSG00000102178.13	UBL4A	662.6341562	2.695265399	0.395573093	2.13E-13	2.84E-11	Up	NS	NS	NS
ENSG00000129173.13	E2F8	197.7829961	5.011783078	0.803024421	2.40E-13	3.17E-11	Up	NS	NS	NS
ENSG00000198113.3	TOR4A	586.5087597	1.726057595	0.245784292	2.55E-13	3.35E-11	Up	Decrease	Increase	NS
ENSG00000135476.12	ESPL1	807.2318356	2.881200021	0.430474287	2.68E-13	3.50E-11	Up	NS	NS	NS
ENSG00000105185.12	PDCD5	1851.181198	1.7413296	0.248926058	2.70E-13	3.50E-11	Up	Decrease	Increase	NS
ENSG00000170312.16	CDK1	444.3519706	4.447803752	0.733932021	2.85E-13	3.66E-11	Up	Decrease	Decrease	NS
ENSG00000143179.16	UCK2	833.1179363	1.920410056	0.276296467	2.89E-13	3.68E-11	Up	NS	NS	NS
ENSG00000164691.18	TAGAP	7904.56685	-2.608590619	0.386548322	2.97E-13	3.76E-11	Down	NS	Increase	NS
ENSG00000137124.8	ALDH1B1	281.5080637	2.632679228	0.386060431	3.31E-13	4.16E-11	Up	NS	NS	NS
ENSG00000132744.8	ACY3	531.6244994	4.320943979	0.700622457	3.37E-13	4.21E-11	Up	Increase	Increase	NS
ENSG00000011052.21	NME1-NME2	298.5759774	2.08676556	0.302005713	3.52E-13	4.35E-11	Up	NS	NS	NS
ENSG00000129353.15	SLC44A2	8120.379268	-1.522902638	0.21776294	3.54E-13	4.35E-11	Down	NS	NS	NS
ENSG00000262418.5	PTPRC	579.3456759	-1.912127189	0.276487603	3.87E-13	4.74E-11	Down	Increase;Decrease	Increase	NS
ENSG00000167261.14	DPEP2	3383.121012	-2.458974824	0.368715537	6.10E-13	7.40E-11	Down	Decrease	NS	NS
ENSG00000171132.14	PRKCE	2393.30488	-1.873811658	0.274571153	6.75E-13	8.14E-11	Down	NS	Increase	NS
ENSG00000120254.15	MTHFD1L	1201.466324	1.795699313	0.262055085	6.89E-13	8.25E-11	Up	Increase	NS	NS
ENSG00000141096.6	DPEP3	68.83107095	-4.442187483	0.675002637	6.99E-13	8.32E-11	Down	Decrease	NS	NS
ENSG00000116663.11	FBXO6	476.6287558	1.955752395	0.287173935	7.93E-13	9.37E-11	Up	Decrease	NS	NS
ENSG00000137720.8	C11orf1	364.9626774	2.245832136	0.332875174	8.37E-13	9.83E-11	Up	NS	NS	NS
ENSG00000042980.13	ADAM28	12762.60322	-1.697135095	0.248845231	8.72E-13	1.02E-10	Down	Decrease	NS	NS
ENSG00000173894.11	CBX2	91.25223203	5.382641046	0.823970516	8.85E-13	1.03E-10	Up	NS	NS	NS
ENSG00000090861.16	AARS1	3095.837528	1.492991388	0.217386957	9.50E-13	1.09E-10	Up	NS	Increase	NS
ENSG00000185404.16	SP140L	5166.181201	-1.442176969	0.210121768	1.04E-12	1.19E-10	Down	Decrease	NS	NS
ENSG00000115163.15	CENPA	137.5337988	3.260333246	0.49799298	1.11E-12	1.25E-10	Up	NS	Increase	NS
ENSG00000093010.14	COMT	1507.572675	1.882143726	0.280825314	1.14E-12	1.27E-10	Up	NS	NS	NS
ENSG00000151552.12	QDPR	509.3451819	2.394516566	0.360699044	1.14E-12	1.27E-10	Up	Decrease	NS	NS
ENSG00000007968.7	E2F2	279.6277826	2.958730746	0.454328897	1.25E-12	1.38E-10	Up	NS	NS	NS
ENSG00000140451.13	PIF1	920.7099475	2.95757964	0.459740654	1.27E-12	1.39E-10	Up	Decrease	NS	NS
ENSG00000134460.18	IL2RA	1802.531935	-3.596875962	0.588215812	1.30E-12	1.41E-10	Down	NS	NS	NS
ENSG00000137168.8	PPIL1	637.4890071	2.880285351	0.447238974	1.36E-12	1.48E-10	Up	Decrease	NS	NS
ENSG00000135253.14	KCP	198.7311701	2.512227655	0.377730942	1.41E-12	1.51E-10	Up	NS	NS	NS
ENSG00000166813.15	KIF7	159.0447365	4.122452398	0.667073315	1.42E-12	1.51E-10	Up	Increase	NS	NS
ENSG00000173221.14	GLRX	248.881005	2.517787133	0.380465353	1.42E-12	1.51E-10	Up	NS	Increase	NS
ENSG00000101057.16	MYBL2	4182.02284	2.390275303	0.364064621	1.49E-12	1.57E-10	Up	Increase	Increase	NS
ENSG00000197471.12	SPN	3651.321139	1.412032265	0.207338321	1.61E-12	1.69E-10	Up	Decrease	Increase	NS
ENSG00000158747.15	NBL1	122.1519064	4.168742419	0.672812521	1.64E-12	1.72E-10	Up	NS	NS	NS
ENSG00000143882.12	ATP6V1C2	734.9254073	1.898617359	0.283228289	1.80E-12	1.87E-10	Up	Increase	Increase	NS
ENSG00000177697.19	CD151	906.3017802	2.028854689	0.305467839	1.95E-12	2.01E-10	Up	NS	NS	NS
ENSG00000167703.15	SLC43A2	603.3634238	-2.099374808	0.316884563	1.98E-12	2.03E-10	Down	NS	NS	NS
ENSG00000137807.15	KIF23	532.905642	3.123197284	0.495138377	2.00E-12	2.04E-10	Up	NS	NS	NS
ENSG00000123131.13	PRDX4	602.4780068	2.11338782	0.319999071	2.29E-12	2.33E-10	Up	NS	NS	NS
ENSG00000166823.5	MESP1	46.18744753	5.901875085	0.893216422	2.41E-12	2.43E-10	Up	Increase	NS	NS
ENSG00000005483.21	KMT2E	7322.630973	-1.560455725	0.232434454	2.48E-12	2.49E-10	Down	Decrease	NS	NS
ENSG00000067225.18	PKM	18971.77075	1.532668506	0.228360396	2.52E-12	2.50E-10	Up	NS	Decrease	NS
ENSG00000077152.11	UBE2T	378.8138288	3.184178943	0.50829287	2.51E-12	2.50E-10	Up	Decrease	Decrease	NS
ENSG00000148411.8	NACC2	256.2311269	4.689244248	0.817008908	2.54E-12	2.50E-10	Up	NS	Increase	NS
ENSG00000148773.14	MKI67	3310.546291	5.093218063	1.055534348	2.66E-12	2.61E-10	Up	NS	Decrease	NS
ENSG00000093009.11	CDC45	489.1104277	4.180938263	0.722559346	2.84E-12	2.77E-10	Up	NS	NS	NS
ENSG00000132646.11	PCNA	3064.380686	3.179728798	0.516870572	3.07E-12	2.98E-10	Up	NS	Increase	NS
ENSG00000007314.12	SCN4A	298.9912527	-3.043938715	0.482786969	3.32E-12	3.19E-10	Down	Increase	NS	NS
ENSG00000107833.10	NPM3	903.117902	2.327599485	0.359465387	3.31E-12	3.19E-10	Up	NS	NS	NS
ENSG00000173457.11	PPP1R14B	1461.1225	2.817197048	0.446944887	3.37E-12	3.22E-10	Up	NS	NS	NS
ENSG00000069188.17	SDK2	778.2323331	-2.053650191	0.313114056	3.67E-12	3.47E-10	Down	Decrease	NS	Hypo
ENSG00000164045.12	CDC25A	328.9274051	4.809736307	0.891509769	3.67E-12	3.47E-10	Up	NS	Increase	NS
ENSG00000074964.17	ARHGEF10L	242.7862439	-2.137547147	0.324819007	3.94E-12	3.70E-10	Down	NS	NS	NS
ENSG00000071242.12	RPS6KA2	511.9489222	-1.770812904	0.268093407	3.99E-12	3.73E-10	Down	NS	Decrease	NS
ENSG00000179958.9	DCTPP1	1036.343173	2.405438218	0.374978521	4.03E-12	3.74E-10	Up	Increase	NS	NS
ENSG00000122952.17	ZWINT	944.9498665	3.799131056	0.653591894	4.16E-12	3.85E-10	Up	NS	Decrease	NS
ENSG00000171817.17	ZNF540	211.9722933	-2.523399169	0.391811281	4.53E-12	4.16E-10	Down	NS	NS	NS
ENSG00000176890.16	TYMS	1292.392084	4.129075704	0.73918268	4.80E-12	4.40E-10	Up	NS	NS	NS
ENSG00000121966.7	CXCR4	43752.29047	-2.860256323	0.463137483	5.29E-12	4.82E-10	Down	NS	NS	NS
ENSG00000144642.22	RBMS3	356.4259302	-2.684751101	0.417108189	5.34E-12	4.83E-10	Down	Decrease	NS	NS
ENSG00000104738.18	MCM4	2982.113222	2.455536077	0.386701846	5.37E-12	4.84E-10	Up	Decrease	NS	NS
ENSG00000169136.11	ATF5	4267.27582	2.483841162	0.39384349	5.84E-12	5.24E-10	Up	Increase	NS	NS
ENSG00000156381.9	ANKRD9	140.0228281	2.108065866	0.323033777	6.33E-12	5.65E-10	Up	NS	NS	NS
ENSG00000275575.4	PTP4A3	131.4284295	3.993582683	0.654508695	6.86E-12	6.09E-10	Up	Decrease	Increase	NS
ENSG00000260220.6	CCDC187	555.1358132	4.875800645	0.808524937	6.98E-12	6.17E-10	Up	NS	NS	NS
ENSG00000243678.11	NME2	6550.602166	1.895147183	0.29411876	7.63E-12	6.71E-10	Up	Increase;Decrease	Increase	NS
ENSG00000171421.13	MRPL36	291.5105814	2.067149742	0.320667849	7.69E-12	6.73E-10	Up	Increase	NS	NS
ENSG00000134291.12	TMEM106C	1118.992847	1.656500667	0.254225264	8.09E-12	7.04E-10	Up	NS	NS	NS
ENSG00000186088.16	GSAP	7724.102342	-1.593185483	0.244968686	8.55E-12	7.41E-10	Down	Decrease	Increase	NS
ENSG00000137804.14	NUSAP1	683.1349979	3.139961894	0.520901836	9.67E-12	8.33E-10	Up	NS	NS	NS
ENSG00000109861.16	CTSC	3474.919936	1.883508469	0.294435481	1.10E-11	9.44E-10	Up	NS	NS	NS
ENSG00000138316.11	ADAMTS14	145.6419902	5.32280692	0.897174111	1.15E-11	9.84E-10	Up	NS	NS	Hypo
ENSG00000171241.9	SHCBP1	502.7769911	2.594231656	0.417392463	1.16E-11	9.86E-10	Up	NS	NS	NS
ENSG00000090263.16	MRPS33	586.7400273	1.93149441	0.301852623	1.17E-11	9.89E-10	Up	NS	Increase	NS
ENSG00000125648.15	SLC25A23	838.7839782	1.948832431	0.30643559	1.31E-11	1.10E-09	Up	NS	NS	NS
ENSG00000136261.15	BZW2	1308.360627	1.912784745	0.300366365	1.34E-11	1.12E-09	Up	Decrease	NS	NS
ENSG00000042753.12	AP2S1	846.5181706	1.722879705	0.268392493	1.35E-11	1.12E-09	Up	NS	Increase	NS
ENSG00000198176.13	TFDP1	3438.435973	2.018031839	0.318688755	1.35E-11	1.12E-09	Up	Increase	NS	NS
ENSG00000178718.7	RPP25	320.5368117	2.862210534	0.466641941	1.38E-11	1.14E-09	Up	NS	Increase	NS
ENSG00000134247.10	PTGFRN	116.0395083	6.287837413	1.154833819	1.44E-11	1.18E-09	Up	NS	NS	NS
ENSG00000100852.13	ARHGAP5	1277.579574	-1.966548676	0.310948504	1.54E-11	1.26E-09	Down	NS	NS	NS
ENSG00000178741.12	COX5A	2634.954488	2.22625645	0.357168635	1.61E-11	1.32E-09	Up	NS	Increase	NS
ENSG00000181852.18	RNF41	5514.442634	-2.300707224	0.371837247	1.66E-11	1.35E-09	Down	Decrease	NS	NS
ENSG00000171793.16	CTPS1	1395.621164	1.708316677	0.267763051	1.75E-11	1.41E-09	Up	Decrease	NS	NS
ENSG00000143869.7	GDF7	4608.765937	-3.633428439	0.649980565	1.90E-11	1.53E-09	Down	NS	NS	NS
ENSG00000188282.12	RUFY4	244.7697683	5.746520085	1.117753757	1.94E-11	1.56E-09	Up	Decrease	NS	NS
ENSG00000005339.15	CREBBP	7336.542229	-1.816191128	0.287798181	2.01E-11	1.58E-09	Down	Decrease	NS	NS
ENSG00000015475.18	BID	587.7178265	3.044270846	0.51326691	2.01E-11	1.58E-09	Up	Increase	NS	NS
ENSG00000109919.10	MTCH2	686.0639911	1.675041567	0.262819883	2.01E-11	1.58E-09	Up	Decrease	Increase	NS
ENSG00000241360.2	PDXP	524.614216	2.015569394	0.320403004	1.99E-11	1.58E-09	Up	NS	NS	Hypo
